,words,label
202,IVDU,1
203,PTS,1
204,UTI,1
205,SMFM,1
206,TRM,1
207,LUTS,1
208,POEM,1
209,SBE,1
210,CHL,1
211,DISIDA,1
212,BOC,1
213,LUQ,1
214,OTC,1
215,ELAD,1
216,UNE,1
217,LOS,1
218,EAC,1
219,Echo,1
220,FRalpha,1
221,ABVD,1
222,TEE,1
223,TRP,1
224,NPN,1
225,JCV,1
226,HS,1
227,ATA,1
228,BUN,1
229,SBM,1
230,PE,1
231,ROSAH,1
232,VSS,1
233,SM,1
234,SOD,1
235,MOH,1
236,SW,1
237,T1,1
238,PTA,1
239,sAb,1
240,PHN,1
241,OS12,1
242,IUGR,1
243,AFO,1
244,OAR,1
245,CPK,1
246,RBAS,1
247,PD,1
248,PTE,1
249,DI,1
250,CCC,1
251,MASCC,1
252,TMR,1
253,APD,1
254,EFM,1
255,SGOT,1
256,HNS,1
257,CSI,1
258,ASIA C,1
259,T1c,1
260,ATM,1
261,VEO-IBD,1
262,NMES,1
263,F/U,1
264,GEP-NET,1
265,VAP,1
266,RLQ,1
267,AUD,1
268,BIBEMS,1
269,JAK-STAT,1
270,CIC,1
271,TNE,1
272,SHM,1
273,CCR7,1
274,KCL,1
275,BT,1
276,AB,1
277,PBC,1
278,IFN,1
279,T5,1
280,ACTH,1
281,FOBT,1
282,ALP,1
283,IDDM,1
284,DAO,1
285,SM grade,1
286,IgG,1
287,PCR,1
288,RCM,1
289,cGMP,1
290,SBRT,1
291,IBM,1
292,TMN,1
293,EGJ,1
294,EATT,1
295,BD,1
296,CRISPR,1
297,PHMM,1
298,AVNRT,1
299,ctDNA,1
300,PNKD,1
301,IR,1
302,LAVI,1
303,ACC,1
304,RRR,1
305,ASD,1
306,NSTEMI,1
307,AKT,1
308,FiO2,1
309,DAA,1
310,HD,1
311,ESBL,1
312,AGA,1
313,IHSS,1
314,AECOPD,1
315,STS,1
316,VA,1
317,IDU,1
318,LT,1
319,NPO,1
320,AZA,1
321,PD,1
322,NW,1
323,VP,1
324,AB,1
325,COOG,1
326,LOC,1
327,SOS,1
328,ADA,1
329,CAT,1
330,DL,1
331,EP,1
332,TKO,1
333,MSSA,1
334,COPD,1
335,LA,1
336,SWS,1
337,pJIA,1
338,HRT,1
339,BPD,1
340,T10,1
341,AAO,1
342,nocte,1
343,AASLD,1
344,NWB,1
345,DIEP,1
346,PO2,1
347,CDT,1
348,DHT,1
349,RRT,1
350,HE,1
351,IPC,1
352,FM,1
353,AVR,1
354,VS,1
355,OS,1
356,FITC,1
357,GP,1
358,C/B,1
359,LEMG,1
360,ESS,1
361,G-POEM,1
362,PFG,1
363,VSS,1
364,CREBBP,1
365,IAP,1
366,AIBV,1
367,IgG4,1
368,MRSA,1
369,TVV,1
370,AA,1
371,OU,1
372,HSCT,1
373,BHR,1
374,EC,1
375,PCOS,1
376,TEM,1
377,LSG,1
378,ASD,1
379,LFA-1,1
380,SFA,1
381,SSPT,1
382,DZ,1
383,cfDNA,1
384,ACS,1
385,AI,1
386,ISR,1
387,CoV,1
388,ICD,1
389,OM1,1
390,SDH,1
391,DOS,1
392,MPN,1
393,PTK,1
394,VOC,1
395,SEC,1
396,CXR,1
397,IFITM,1
398,PR,1
399,AA&O,1
400,HOMA-IR,1
401,CPT,1
402,CNS,1
403,NLRP12,1
404,EV,1
405,T4,1
406,DAOM,1
407,GCSI,1
408,PML,1
409,WIRB,1
410,CAP,1
411,AVF,1
412,SSNHL,1
413,COME,1
414,RTK,1
415,WWTP,1
416,nAMD,1
417,PED,1
418,MSI,1
419,BMR,1
420,V3,1
421,HIPEC,1
422,BM,1
423,D&C,1
424,OCT3,1
425,DCM,1
426,WS,1
427,PK,1
428,IUUS,1
429,FU,1
430,EES,1
431,FRAX,1
432,MILD,1
433,ED,1
434,BCRL,1
435,TMS,1
436,BMS,1
437,MSC,1
438,PEEP,1
439,IR,1
440,DGL,1
441,RA,1
442,DNS,1
443,SD,1
444,DBP,1
445,FCR,1
446,FFDM,1
447,APAAP,1
448,MMN,1
449,CC,1
450,NF1,1
451,SSI,1
452,SOAP,1
453,ASVD,1
454,SOT,1
455,TID,1
456,PND,1
457,IP,1
458,BAHA,1
459,GAG,1
460,LSV,1
461,GFR,1
462,SABR-COMET,1
463,ML,1
464,PTEN,1
465,HD,1
466,BTA,1
467,PS,1
468,ECF,1
469,CDPAS,1
470,ERA,1
471,LBM,1
472,MA,1
473,C6,1
474,A1ATD,1
475,TNM,1
476,GS,1
477,VED,1
478,ETC,1
479,MCA,1
480,BRB,1
481,ISS,1
482,ACE-I,1
483,MOG,1
484,ATOMAC,1
485,VAS,1
486,NCP,1
487,S/P,1
488,OC,1
489,CM,1
490,APRV,1
491,ER,1
492,VT,1
493,5-ALA,1
494,EGA,1
495,OPTN,1
496,AUA,1
497,OCT,1
498,HI,1
499,GRE,1
500,PCNSL,1
501,BP,1
502,TLR,1
503,HHS,1
504,DCI,1
505,TIBC,1
506,HA,1
507,LWPES,1
508,NAFLD,1
509,PCP,1
510,ARAG,1
511,RANKL,1
512,TCS,1
513,SVC,1
514,ERCP,1
515,PID,1
516,tSSS,1
517,NEB,1
518,MP,1
519,IDSA,1
520,UDCA,1
521,D/C,1
522,LB,1
523,CBD,1
524,VMI,1
525,IMA,1
526,TMA,1
527,ET,1
528,M/R/G,1
529,GPS,1
530,ERK,1
531,HSAT,1
532,ISG,1
533,HZV,1
534,NCT,1
535,siRNA,1
536,APC,1
537,EVAS,1
538,yo,1
539,GER,1
540,PRV,1
541,OVB,1
542,CPS,1
543,LDLR,1
544,IOM,1
545,GRADE,1
546,abd gr,1
547,PEFR,1
548,AD,1
549,MAO-B,1
550,JIA,1
551,LR,1
552,ALTE,1
553,FFR,1
554,MAPK,1
555,Hct,1
556,R,1
557,BKA,1
558,GPR,1
559,CXL,1
560,pg,1
561,ERAS,1
562,DBS,1
563,nmCRPC,1
564,mmol/L,1
565,TG,1
566,CB,1
567,HU,1
568,LM,1
569,RCC,1
570,MSA,1
571,T4,1
572,ODI,1
573,HCG,1
574,CPAP,1
575,TN,1
576,PCR,1
577,CVAT,1
578,ASIA,1
579,VWF:Ag,1
580,TRUS,1
581,DHA,1
582,mAbs,1
583,COVID-19,1
584,CI,1
585,PSA,1
586,RFS,1
587,MFC,1
588,PMAT,1
589,CP,1
590,PF,1
591,K,1
592,BCBA,1
593,GPC,1
594,MX,1
595,UF,1
596,AIED,1
597,LLL,1
598,pH,1
599,ECMO,1
600,PA,1
601,H&P,1
602,PEG,1
603,ABPA,1
604,JRAAA,1
605,CFC,1
606,LTCF,1
607,CP,1
608,ETANTR,1
609,5-ASA,1
610,IBS,1
611,CBCT,1
612,ICF,1
613,IVF,1
614,DCIS,1
615,MUA,1
616,FISH,1
617,AMA,1
618,SSZ,1
619,LV,1
620,ABA,1
621,NPPV,1
622,HAP,1
623,NMIBC,1
624,CMP,1
625,AV,1
626,PLEX,1
627,NVAF,1
628,MACS,1
629,ILK,1
630,HDN,1
631,LITT,1
632,CSD,1
633,LOC,1
634,TVF,1
635,SNC1,1
636,GPCR,1
637,BRBPR,1
638,DMA,1
639,CCPDMA,1
640,IVU,1
641,CD,1
642,RNFL,1
643,DES,1
644,RR,1
645,TEP,1
646,DDX,1
647,PTCA,1
648,EVH,1
649,IPPB,1
650,GLT,1
651,ARVD,1
652,HCV,1
653,SCAI,1
654,DL,1
655,NT,1
656,TCAR,1
657,FMF,1
658,GnRHa,1
659,LPP,1
660,NED,1
661,XLT,1
662,MCFC,1
663,BO,1
664,SEMLS,1
665,RUE,1
666,GSD,1
667,VHL,1
668,EMDR,1
669,JAK,1
670,ASAM,1
671,TSS-NS,1
672,OA,1
673,IDE,1
674,ECPR,1
675,IRMA,1
676,L5,1
677,ES,1
678,TMJ,1
679,NIAAA,1
680,G3,1
681,ASTRO,1
682,RA,1
683,LBO,1
684,CHI,1
685,DGE,1
686,RETU,1
687,CA,1
688,IL-13,1
689,JRA,1
690,N1,1
691,FLAIR,1
692,TTLP,1
693,GNR,1
694,CPA,1
695,SACH,1
696,VEGF,1
697,FAI,1
698,UPJ,1
699,VD,1
700,FBSS,1
701,RTC,1
702,LAAC,1
703,EDG,1
704,JNA,1
705,PUD,1
706,PANS,1
707,CHEK2,1
708,IT,1
709,DSWI,1
710,HAGMA,1
711,APHE,1
712,InflAAA,1
713,LM,1
714,ALL,1
715,PH,1
716,AK,1
717,CNT,1
718,CYS,1
719,ETS,1
720,DP,1
721,PI3K,1
722,aVL,1
723,APAP,1
724,ROM,1
725,Y90,1
726,CN,1
727,BG,1
728,AS,1
729,ED,1
730,CCRT,1
731,NICU,1
732,DHEA,1
733,SBO,1
734,SVD,1
735,R-EPOCH,1
736,ASD,1
737,SMILE,1
738,PEA,1
739,PKP,1
740,FC,1
741,tPSA,1
742,HLP,1
743,C7,1
744,AC,1
745,HCTZ,1
746,T&A,1
747,ULN,1
748,RasGEF,1
749,DOAC,1
750,PsA,1
751,WBAT,1
752,IVF,1
753,RANK,1
754,LAVH,1
755,PRN,1
756,CKMB,1
757,ANP,1
758,APD,1
759,NGT,1
760,PR,1
761,IMM,1
762,MALT,1
763,NICVD,1
764,ICP,1
765,MIC,1
766,Alk phos,1
767,V/Q,1
768,mCRPC,1
769,HV,1
770,BLE,1
771,MR,1
772,FEV1,1
773,ATA,1
774,PEG,1
775,LFT,1
776,ISS,1
777,CGMS,1
778,PSH,1
779,NRB,1
780,IIA,1
781,STEMI,1
782,ISC,1
783,LDH,1
784,amp,1
785,6-MP,1
786,AET,1
787,TViV,1
788,PRP,1
789,AOCD,1
790,VRE,1
791,GB,1
792,QALY,1
793,CS-IMRT,1
794,CM-AVM,1
795,NXG,1
796,GRC,1
797,EBL,1
798,TTP,1
799,IS,1
800,CSS,1
801,OB,1
802,AF,1
803,CK,1
804,T1,1
805,SSR,1
806,SCS,1
807,GLUT,1
808,AE,1
809,STS,1
810,SIRS,1
811,cmH2O,1
812,SVD,1
813,CRT,1
814,ANF,1
815,RNA,1
816,ACLS,1
817,PANDAS,1
818,NAD,1
819,HAM-D,1
820,PMI,1
821,NPWT,1
822,OHT,1
823,SAAG,1
824,ATM,1
825,CM,1
826,DM,1
827,RPP,1
828,AVSS,1
829,cAMP,1
830,ASSFN,1
831,BFIE,1
832,PGT-M,1
833,CBT-I,1
834,OTW,1
835,PSA,1
836,PAWP,1
837,DAPT,1
838,BD,1
839,PBP,1
840,GABA,1
841,TRI,1
842,DRE,1
843,5-HIAA,1
844,CDMR,1
845,ART,1
846,OSA,1
847,RVR,1
848,eGFR,1
849,HSV,1
850,BCR,1
851,LDCT,1
852,ACM,1
853,ATR,1
854,TNB,1
855,LDLT,1
856,Gy,1
857,EH,1
858,LA classification,1
859,CCl4,1
860,FeNO,1
861,AE,1
862,IBS-C,1
863,BoNT,1
864,SOB,1
865,SAGES,1
866,CGH,1
867,AIS,1
868,DOE,1
869,TG,1
870,IIH,1
871,LTAC,1
872,INR,1
873,CPT,1
874,HL,1
875,R/O,1
876,HSPG,1
877,fPSA,1
878,PACAP,1
879,HLA,1
880,am,1
881,FU,1
882,SIMV,1
883,SC,1
884,dB,1
885,PI,1
886,AFB,1
887,T12,1
888,LE,1
889,CDVA,1
890,OSR,1
891,ID,1
892,AQLQ,1
893,SRBD,1
894,ISRT,1
895,HeFH,1
896,TEM,1
897,MERS,1
898,PG,1
899,EGFR,1
900,CDR,1
901,MEK,1
902,PED,1
903,SCIg,1
904,MEP,1
905,PGD,1
906,PAMG-1,1
907,MDI,1
908,BIV,1
909,MAC,1
910,TM,1
911,HSC,1
912,LAD,1
913,Cl,1
914,CPP,1
915,ST,1
916,OHSS,1
917,IVC,1
918,ACI,1
919,sAg,1
920,VC,1
921,HEART,1
922,NTG,1
923,HMG-CoA,1
924,DEXA,1
925,PDE,1
926,CGM,1
927,ADHD,1
928,IGFBP3,1
929,IMPT,1
930,CKIδ,1
931,Tdap,1
932,IAA,1
933,PUP,1
934,NRI,1
935,ITI,1
936,HAV,1
937,APAP,1
938,LVH,1
939,VCD,1
940,ALS,1
941,CAA,1
942,t-EMG,1
943,Bx,1
944,ABG,1
945,ITP,1
946,DFV,1
947,FF,1
948,CIS,1
949,TSS-S,1
950,SPECT,1
951,CB,1
952,EFL,1
953,ASA,1
954,AAST,1
955,CDAI,1
956,PSM,1
957,DFE,1
958,IA,1
959,BE,1
960,MDE,1
961,pCO2,1
962,GRB2,1
963,LVAD,1
964,LAD,1
965,A-A,1
966,PAU,1
967,CN12,1
968,GEJ,1
969,FHF,1
970,LPP,1
971,Q4H,1
972,CRST,1
973,Alb,1
974,MO,1
975,TRD,1
976,AT,1
977,Hx,1
978,SECD,1
979,EDV,1
980,HBOT,1
981,BR,1
982,PRBC,1
983,SA,1
984,FBS,1
985,DRESS,1
986,PRRT2,1
987,HPV,1
988,FB,1
989,LLE,1
990,RECIST,1
991,LES,1
992,IPJ,1
993,PMA,1
994,FSFI,1
995,HAS-BLED,1
996,AVN,1
997,PEEK,1
998,MCB,1
999,NSR,1
1000,CVS,1
1001,TKR,1
1002,ET,1
1003,DPD,1
1004,RT-PCR,1
1005,CDDP,1
1006,CHRD,1
1007,5ARI,1
1008,POV,1
1009,HIDA,1
1010,CASL-2,1
1011,ASA,1
1012,DSD,1
1013,ACE2,1
1014,CO2,1
1015,QOD,1
1016,OV,1
1017,ALA,1
1018,AOD,1
1019,NMR,1
1020,TM,1
1021,ACT,1
1022,RFFP,1
1023,TSS,1
1024,Wt,1
1025,ANED,1
1026,PROM,1
1027,STSG,1
1028,CM,1
1029,ANOVA,1
1030,OHCA,1
1031,B-ALL,1
1032,GAS,1
1033,ARA,1
1034,AMLS,1
1035,VS,1
1036,BT,1
1037,RBD,1
1038,VOGM,1
1039,ACS,1
1040,HNMT,1
1041,I&D,1
1042,IBW,1
1043,SLP,1
1044,GTT,1
1045,dL,1
1046,ADOS-2,1
1047,Dx,1
1048,CPT1A,1
1049,IVIG,1
1050,SIBO,1
1051,GS,1
1052,MTF,1
1053,HCO3,1
1054,HK,1
1055,NOAC,1
1056,NM,1
1057,tMax,1
1058,PAco2,1
1059,TGFβ,1
1060,LDS,1
1061,HHA,1
1062,BPM,1
1063,SNP,1
1064,RERA,1
1065,OPC,1
1066,ALF,1
1067,ABI,1
1068,CRISA,1
1069,GHBP,1
1070,HTG,1
1071,BSC,1
1072,OSAS,1
1073,MCTD,1
1074,GGO,1
1075,CFA,1
1076,MTX,1
1077,PERRL,1
1078,IMS,1
1079,RDV,1
1080,RT,1
1081,DTR,1
1082,DS,1
1083,H&H,1
1084,PHV,1
1085,TTB,1
1086,HC,1
1087,ATACH,1
1088,LAHB,1
1089,TIMI,1
1090,AI,1
1091,PSW,1
1092,IT,1
1093,KAX,1
1094,CTI,1
1095,K,1
1096,PCU,1
1097,ECOG-PS,1
1098,PFPT,1
1099,T0,1
1100,CAP,1
1101,HS,1
1102,AD,1
1103,DBT,1
1104,MX,1
1105,ADR,1
1106,WMH,1
1107,APR,1
1108,HEENT,1
1109,PGCG,1
1110,ROC,1
1111,SDB,1
1112,GCS,1
1113,Ep-GBM,1
1114,MPL,1
1115,MOM,1
1116,CHF,1
1117,HIFU,1
1118,PFO,1
1119,ITB,1
1120,HBA,1
1121,Hg,1
1122,amb,1
1123,TTS,1
1124,CVID,1
1125,LCX,1
1126,AC,1
1127,RAC,1
1128,AH,1
1129,QH,1
1130,HDC,1
1131,ALK,1
1132,CCM,1
1133,Mb,1
1134,LOC,1
1135,w/u,1
1136,EKG,1
1137,WGS,1
1138,UCVA,1
1139,FRC,1
1140,TA,1
1141,PHEIC,1
1142,NCCAH,1
1143,ICSI,1
1144,dsDNA,1
1145,ADA,1
1146,N3,1
1147,MRADL,1
1148,CR,1
1149,XDR-TB,1
1150,AUC,1
1151,ETT,1
1152,HFCC,1
1153,AHI,1
1154,NHLBI,1
1155,SCA,1
1156,ASIA B,1
1157,IV,1
1158,EtS,1
1159,AC,1
1160,XLA,1
1161,LCSW,1
1162,ATEC,1
1163,RV,1
1164,MAA,1
1165,CG,1
1166,bEVAR,1
1167,ASMA,1
1168,China CDC,1
1169,ELF,1
1170,BAK,1
1171,UNOS,1
1172,VUS,1
1173,LAFB,1
1174,LBN,1
1175,DOB,1
1176,NMO,1
1177,MRA,1
1178,ABIC,1
1179,SSV,1
1180,OAG,1
1181,g/dl,1
1182,AC,1
1183,CA,1
1184,NCCN,1
1185,ASIA E,1
1186,PVL,1
1187,SRP,1
1188,RUL,1
1189,HD,1
1190,AFAFP,1
1191,IHC,1
1192,WC,1
1193,PLIF,1
1194,BMI,1
1195,TDM,1
1196,AAA,1
1197,VRAS,1
1198,BASC,1
1199,PCCM,1
1200,FOLFOX,1
1201,MVR,1
1202,KCH,1
1203,RT,1
1204,H20,1
1205,CA,1
1206,PRISMA,1
1207,NNIS,1
1208,NIPT,1
1209,LF,1
1210,CVC,1
1211,IMRT,1
1212,RA,1
1213,TGI,1
1214,VEEG,1
1215,EM,1
1216,5-FU,1
1217,TLSO,1
1218,TPN,1
1219,GC-rich,1
1220,MDS,1
1221,HGB,1
1222,CFV,1
1223,S2,1
1224,GRS,1
1225,PVI,1
1226,NTD,1
1227,SCID,1
1228,FTM,1
1229,ce-CMR,1
1230,PTH,1
1231,EDS,1
1232,ELSO,1
1233,JF,1
1234,VMAT2,1
1235,5HT,1
1236,T,1
1237,SpO2,1
1238,RTOG,1
1239,anast,1
1240,E-VAC,1
1241,L&D,1
1242,ET,1
1243,CURB-65,1
1244,MAR,1
1245,ICS,1
1246,MECC,1
1247,PROM,1
1248,HUS,1
1249,COWS,1
1250,HLD,1
1251,PE,1
1252,DLGNT,1
1253,MSC,1
1254,AMML,1
1255,WES,1
1256,SES-CD,1
1257,TAVI,1
1258,AAOS,1
1259,HFNC,1
1260,IS,1
1261,PCP,1
1262,HAPE,1
1263,PTHrP,1
1264,NBUVB,1
1265,EI,1
1266, ,1
1267,ITB,1
1268,BBB,1
1269,UST,1
1270,ANA,1
1271,BPAD,1
1272,aCGH,1
1273,EP,1
1274,GABHS,1
1275,CCP,1
1276,PBT,1
1277,N-MIA,1
1278,CMR,1
1279,SSED,1
1280,qPCR,1
1281,OCD,1
1282,BCSVA,1
1283,LNF,1
1284,CAD,1
1285,GH,1
1286,EBV,1
1287,MG,1
1288,DNI,1
1289,UDS,1
1290,L1,1
1291,IAC,1
1292,RSD,1
1293,Ao,1
1294,PTA,1
1295,THR,1
1296,UPPP,1
1297,THA,1
1298,SABR,1
1299,NIH,1
1300,ESWT,1
1301,DVIU,1
1302,RT,1
1303,TENS,1
1304,SGPT,1
1305,PN,1
1306,MVD,1
1307,AAROM,1
1308,BRAT,1
1309,IAA,1
1310,SAD,1
1311,TCR,1
1312,WD,1
1313,IgD,1
1314,LOCADTR,1
1315,UAS,1
1316,T Bili,1
1317,ul,1
1318,TORCH,1
1319,IgG2,1
1320,EDACS,1
1321,HS-CRP,1
1322,VDRL,1
1323,PI,1
1324,BMS,1
1325,AMP,1
1326,SSD,1
1327,PKD,1
1328,MVO,1
1329,UFE,1
1330,ESI,1
1331,Rh,1
1332,CAV,1
1333,CMV,1
1334,ASAS 20/40/50/70,1
1335,LDL-C,1
1336,Li-RADS,1
1337,CSF,1
1338,L,1
1339,SARI,1
1340,CKD,1
1341,AT/RT,1
1342,QD,1
1343,LTACH,1
1344,TVC,1
1345,PPI,1
1346,SVG,1
1347,BPP,1
1348,mg,1
1349,SCA,1
1350,MVA,1
1351,ICR,1
1352,LN,1
1353,kg,1
1354,CaCO3,1
1355,ASIA D,1
1356,HUD,1
1357,NTM,1
1358,SL,1
1359,GT,1
1360,Na,1
1361,PPV,1
1362,SQ,1
1363,T4,1
1364,AXR,1
1365,BAL,1
1366,SDS,1
1367,ESS,1
1368,CD4,1
1369,mRNA,1
1370,FSP,1
1371,C/O,1
1372,PR,1
1373,BASDAI,1
1374,SLNB,1
1375,AMA,1
1376,STOPAH,1
1377,SBP,1
1378,BVAB,1
1379,SSS,1
1380,Qmax,1
1381,NLM,1
1382,AH,1
1383,SMX-TMP,1
1384,CCTA,1
1385,FF,1
1386,MOSF,1
1387,PCI,1
1388,FLIM,1
1389,SSI,1
1390,LDL,1
1391,LH,1
1392,GTV,1
1393,RD,1
1394,TM,1
1395,PCA,1
1396,AP-MS,1
1397,ASIPP,1
1398,AHA,1
1399,GAK,1
1400,PE,1
1401,IOL,1
1402,HCPCS,1
1403,BAC,1
1404,FTT,1
1405,RDS,1
1406,MDF,1
1407,PERRLA,1
1408,HA,1
1409,BiPAP,1
1410,MODQ,1
1411,GEP,1
1412,PAH,1
1413,LHRH,1
1414,AD,1
1415,N-MIAA,1
1416,RICE,1
1417,AUI,1
1418,CDK,1
1419,GES,1
1420,WB,1
1421,PDL,1
1422,Tx,1
1423,SSEP,1
1424,MCM,1
1425,GFP,1
1426,GIST,1
1427,SMART,1
1428,AU,1
1429,SMA,1
1430,PDT,1
1431,CKI,1
1432,BSA,1
1433,C DIFF,1
1434,ATN,1
1435,FT,1
1436,RLF,1
1437,NS5A,1
1438,MELS,1
1439,GSM,1
1440,ODG,1
1441,mLAP,1
1442,SGLT-2,1
1443,CIC,1
1444,LIMA,1
1445,PTA,1
1446,cDNA-AFLP,1
1447,IL-4Ra,1
1448,EVAR,1
1449,CPT-1,1
1450,CABG,1
1451,PEAK-DT,1
1452,CRBBB,1
1453,CPE,1
1454,PBRT,1
1455,rTMS,1
1456,ITR,1
1457,rRT-PCR,1
1458,PHQ,1
1459,NLPHL,1
1460,UB,1
1461,FSG,1
1462,SVD,1
1463,ASO,1
1464,SRS,1
1465,G-J,1
1466,PAo2,1
1467,PMC,1
1468,USPSTF,1
1469,ABD,1
1470,RDF,1
1471,PUVA,1
1472,WBE,1
1473,MACI,1
1474,MPNST,1
1475,IGF-1,1
1476,CTV,1
1477,PFS,1
1478,SVT,1
1479,IPAH,1
1480,RdRp,1
1481,PFT,1
1482,ACD,1
1483,ANC,1
1484,ASHF,1
1485,CPT,1
1486,PFH,1
1487,A&W,1
1488,2D-RT,1
1489,ETEC,1
1490,GIPP,1
1491,PLP,1
1492,RW,1
1493,IPC,1
1494,T3,1
1495,QHS,1
1496,FUO,1
1497,MERRF,1
1498,cAb,1
1499,EST,1
1500,ROS,1
1501,BCG,1
1502,ASIA A,1
1503,NKDA,1
1504,OR,1
1505,S4,1
1506,HOH,1
1507,ALI,1
1508,dTMS,1
1509,TTE,1
1510,G1,1
1511,MSA,1
1512,CCK,1
1513,VIDISCA,1
1514,NMSC,1
1515,3D-CRT,1
1516,WBC,1
1517,CNV,1
1518,LP,1
1519,CRS,1
1520,TIA,1
1521,CAG,1
1522,TCC,1
1523,A&O,1
1524,MAPHR,1
1525,CNV,1
1526,INPH,1
1527,ADA,1
1528,CAPS,1
1529,GJ,1
1530,GGA,1
1531,KUB,1
1532,OAT,1
1533,DM,1
1534,URI,1
1535,TKI,1
1536,BRUE,1
1537,OSC,1
1538,DMEM,1
1539,ICU,1
1540,NAC,1
1541,DMSO,1
1542,SRT,1
1543,CA-125,1
1544,NSCLC,1
1545,EPEC,1
1546,CBC,1
1547,CD20,1
1548,AML,1
1549,ONH,1
1550,RLE,1
1551,BPHTN,1
1552,DVS,1
1553,3DCRT,1
1554,c/w,1
1555,TBS,1
1556,TVUS,1
1557,ECG,1
1558,BOOP,1
1559,EPS,1
1560,SI,1
1561,NDR,1
1562,GBM,1
1563,LAAEV,1
1564,IONM,1
1565,APL,1
1566,ARDS,1
1567,EASI,1
1568,CIM,1
1569,MF,1
1570,MSKCC,1
1571,SABR,1
1572,CPM,1
1573,PBS,1
1574,XDR,1
1575,MP,1
1576,PCL,1
1577,MCHC,1
1578,BVN,1
1579,FNAB,1
1580,AFT,1
1581,PEF,1
1582,sEMG,1
1583,AOB,1
1584,PICA,1
1585,DSA,1
1586,ppm,1
1587,PBT,1
1588,VHD,1
1589,Cr,1
1590,XL,1
1591,AGE,1
1592,IAD,1
1593,MVP,1
1594,OS,1
1595,CP,1
1596,MAC,1
1597,pg/mL,1
1598,PD,1
1599,BS,1
1600,AMS,1
1601,UC,1
1602,IFU,1
1603,AED,1
1604,AVI,1
1605,ALSFRS,1
1606,VF,1
1607,PNET,1
1608,TFNE,1
1609,OM3,1
1610,CIDT,1
1611,HPI,1
1612,RCVP,1
1613,AAG,1
1614,LAAT,1
1615,CDI,1
1616,QTc,1
1617,AIUM,1
1618,RVSP,1
1619,LOLA,1
